epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5381,0.90265,5.92335,0.84436,0.39709,0.16616,0.06517,0.03825,0.46552,1.89054,0.50874,0.000329114,0.000329114,0.000329114
2,98.4008,0.58557,1.07528,0.50018,0.42846,0.18579,0.15839,0.07174,0.87389,1.49691,1.17401,0.000658075,0.000658075,0.000658075
3,136.541,0.53826,0.91122,0.43681,0.73049,0.40469,0.44367,0.20198,0.58485,1.21731,0.6771,0.000982636,0.000982636,0.000982636
4,174.259,0.52033,0.86801,0.43157,0.31146,0.33282,0.31131,0.15149,0.70549,1.04497,0.90631,0.0009802,0.0009802,0.0009802
5,211.092,0.49208,0.85388,0.41183,0.47292,0.45535,0.49034,0.26696,0.51419,0.91527,0.60221,0.0009736,0.0009736,0.0009736
6,248.911,0.48842,0.83774,0.39374,0.52949,0.52176,0.54137,0.29513,0.47606,0.90091,0.5317,0.000967,0.000967,0.000967
7,286.465,0.48789,0.84097,0.39999,0.49594,0.43788,0.45407,0.20174,0.63365,0.92214,0.73525,0.0009604,0.0009604,0.0009604
8,323.4,0.49108,0.81354,0.39768,0.34631,0.33435,0.29733,0.14463,0.74338,0.99907,1.01201,0.0009538,0.0009538,0.0009538
9,360.185,0.48092,0.82599,0.39285,0.71766,0.50131,0.56263,0.31064,0.48363,0.87432,0.52995,0.0009472,0.0009472,0.0009472
10,397.751,0.47642,0.8113,0.39768,0.62913,0.41995,0.4233,0.19908,0.59463,1.10341,0.68507,0.0009406,0.0009406,0.0009406
11,434.741,0.46641,0.79323,0.3893,0.64615,0.56669,0.60175,0.33899,0.44326,0.90948,0.47911,0.000934,0.000934,0.000934
12,472.192,0.47282,0.78245,0.38856,0.5912,0.52512,0.55208,0.27809,0.52672,0.87787,0.56254,0.0009274,0.0009274,0.0009274
13,509.381,0.46721,0.76789,0.38034,0.541,0.60401,0.60384,0.31858,0.49178,0.81157,0.56602,0.0009208,0.0009208,0.0009208
14,546.137,0.45891,0.75436,0.37964,0.69651,0.57803,0.65206,0.35832,0.45622,0.80638,0.49901,0.0009142,0.0009142,0.0009142
