epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2409,0.90713,4.48255,0.86027,0.55384,0.25575,0.1717,0.088,0.49044,1.64244,0.52871,0.000329114,0.000329114,0.000329114
2,78.4898,0.6101,1.00843,0.535,0.72279,0.29411,0.35197,0.17458,0.63212,1.09869,0.73075,0.000658075,0.000658075,0.000658075
3,105.932,0.55753,0.8964,0.46139,0.50095,0.43795,0.40219,0.19817,0.54575,1.13453,0.63044,0.000982636,0.000982636,0.000982636
4,133.063,0.54998,0.86747,0.46405,0.64233,0.36183,0.38329,0.21294,0.62504,1.03924,0.7205,0.0009802,0.0009802,0.0009802
5,160.183,0.51155,0.8666,0.43448,0.46112,0.41091,0.40554,0.21319,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,187.575,0.50806,0.86068,0.40716,0.53391,0.42443,0.44283,0.21878,0.56573,1.04443,0.65259,0.000967,0.000967,0.000967
7,214.682,0.49697,0.81194,0.40863,0.65723,0.45642,0.47306,0.23242,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,242.026,0.48584,0.79343,0.39017,0.42557,0.50814,0.48294,0.23631,0.56612,0.94589,0.63426,0.0009538,0.0009538,0.0009538
9,269.082,0.47869,0.79962,0.39985,0.71446,0.47266,0.50942,0.28198,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,296.476,0.46787,0.80084,0.38999,0.56674,0.55222,0.57297,0.27369,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,322.858,0.46945,0.77361,0.39235,0.53416,0.54065,0.58856,0.31607,nan,nan,nan,0.000934,0.000934,0.000934
12,350.006,0.46687,0.75889,0.38177,0.4966,0.57224,0.5664,0.28648,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,376.589,0.46585,0.77289,0.38209,0.59295,0.63501,0.63397,0.34667,0.47301,0.85834,0.54334,0.0009208,0.0009208,0.0009208
14,403.719,0.45643,0.76278,0.37785,0.55806,0.60651,0.6137,0.34879,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,431.063,0.46253,0.75934,0.37707,0.52764,0.58224,0.55626,0.27815,0.50729,0.88727,0.57873,0.0009076,0.0009076,0.0009076
16,457.48,0.46143,0.74864,0.38345,0.57057,0.55922,0.56631,0.29018,nan,nan,nan,0.000901,0.000901,0.000901
17,483.911,0.4606,0.75917,0.3783,0.62169,0.5851,0.62271,0.3432,nan,nan,nan,0.0008944,0.0008944,0.0008944
18,510.57,0.44829,0.76337,0.37449,0.6397,0.51911,0.56703,0.32125,nan,nan,nan,0.0008878,0.0008878,0.0008878
19,536.991,0.45692,0.74259,0.36914,0.64286,0.46664,0.52412,0.27212,nan,nan,nan,0.0008812,0.0008812,0.0008812
20,563.616,0.45201,0.73792,0.37348,0.62212,0.59119,0.62074,0.33635,0.47457,0.825,0.50342,0.0008746,0.0008746,0.0008746
21,590.034,0.45113,0.75838,0.37488,0.60078,0.57497,0.61378,0.32785,0.48012,0.82846,0.554,0.000868,0.000868,0.000868
22,616.407,0.45424,0.72396,0.37593,0.58789,0.63574,0.63398,0.34895,0.47576,0.79253,0.53482,0.0008614,0.0008614,0.0008614
23,643.776,0.44429,0.76884,0.36097,0.57087,0.56966,0.60132,0.30621,0.47657,0.89124,0.53257,0.0008548,0.0008548,0.0008548
24,670.188,0.4458,0.75818,0.36571,0.57048,0.56504,0.58381,0.32644,nan,nan,nan,0.0008482,0.0008482,0.0008482
25,696.791,0.44442,0.72127,0.36927,0.59869,0.51065,0.54392,0.28676,nan,nan,nan,0.0008416,0.0008416,0.0008416
26,723.255,0.44504,0.71176,0.36639,0.61553,0.59229,0.63119,0.33348,0.4855,0.8247,0.50902,0.000835,0.000835,0.000835
27,749.799,0.44519,0.72287,0.36707,0.66386,0.57701,0.61499,0.33526,nan,nan,nan,0.0008284,0.0008284,0.0008284
28,776.418,0.43545,0.73555,0.35188,0.7523,0.60375,0.65279,0.363,0.44397,0.82655,0.489,0.0008218,0.0008218,0.0008218
29,803.576,0.43379,0.70744,0.35434,0.6206,0.60369,0.61744,0.34334,nan,nan,nan,0.0008152,0.0008152,0.0008152
30,829.998,0.42897,0.70079,0.35625,0.58261,0.56995,0.60168,0.30652,0.5111,0.84099,0.59138,0.0008086,0.0008086,0.0008086
31,856.643,0.43425,0.70592,0.36634,0.61147,0.5957,0.63318,0.34157,0.46803,0.80238,0.53135,0.000802,0.000802,0.000802
32,883.079,0.43861,0.68246,0.36194,0.63815,0.65123,0.6562,0.33838,nan,nan,nan,0.0007954,0.0007954,0.0007954
33,909.733,0.43073,0.7086,0.35687,0.66076,0.61793,0.66103,0.36067,nan,nan,nan,0.0007888,0.0007888,0.0007888
34,936.128,0.43408,0.6938,0.36318,0.63219,0.66872,0.67523,0.35711,0.47296,0.75495,0.54642,0.0007822,0.0007822,0.0007822
35,962.793,0.43634,0.70824,0.35235,0.65036,0.63503,0.66937,0.36756,0.46148,0.76714,0.53498,0.0007756,0.0007756,0.0007756
36,990.011,0.43574,0.69924,0.36583,0.59505,0.61627,0.63148,0.34102,0.46487,0.7957,0.55807,0.000769,0.000769,0.000769
37,1016.53,0.44068,0.69577,0.36934,0.66765,0.53758,0.56539,0.28821,nan,nan,nan,0.0007624,0.0007624,0.0007624
38,1043.32,0.42726,0.69163,0.35214,0.62184,0.62466,0.64286,0.35517,0.46988,0.78683,0.52847,0.0007558,0.0007558,0.0007558
