epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7913,1.79908,3.29547,1.90495,0.33767,0.25746,0.26026,0.11825,1.84883,3.21299,1.94894,0.000329114,0.000329114,0.000329114
2,19.3555,1.65583,2.44783,1.73069,0.25868,0.44541,0.26113,0.11434,2.04911,3.70227,2.05915,0.000658075,0.000658075,0.000658075
3,27.3263,1.68188,2.27409,1.74702,0.46031,0.38395,0.28898,0.12931,2.00123,3.31151,2.17185,0.000982636,0.000982636,0.000982636
4,35.3677,1.68306,2.19106,1.73056,0.55471,0.44929,0.44033,0.19288,1.84225,2.44184,1.92254,0.0009802,0.0009802,0.0009802
5,43.6708,1.59496,2.07024,1.69668,0.50409,0.47578,0.46727,0.19843,1.89675,2.4683,1.99794,0.0009736,0.0009736,0.0009736
6,51.6522,1.59772,1.98595,1.67388,0.42427,0.4798,0.45176,0.20966,1.87891,2.23516,1.95345,0.000967,0.000967,0.000967
7,59.6401,1.57994,1.92446,1.65729,0.46048,0.45964,0.47451,0.2314,1.77277,2.18886,1.89578,0.0009604,0.0009604,0.0009604
8,67.7659,1.542,1.84583,1.63186,0.65897,0.41885,0.47903,0.22025,1.84968,2.22705,1.91096,0.0009538,0.0009538,0.0009538
9,75.6884,1.55853,1.85232,1.63945,0.48915,0.54943,0.55378,0.26842,1.71942,1.90031,1.80432,0.0009472,0.0009472,0.0009472
10,83.63,1.50612,1.82226,1.62086,0.48542,0.63202,0.6179,0.29732,1.68166,1.82421,1.75912,0.0009406,0.0009406,0.0009406
11,91.5845,1.53152,1.77268,1.62323,0.50705,0.55867,0.55857,0.28034,1.63543,1.84479,1.72942,0.000934,0.000934,0.000934
12,99.47,1.50546,1.76595,1.61603,0.65779,0.51569,0.56619,0.28497,1.70974,1.91155,1.74858,0.0009274,0.0009274,0.0009274
13,107.34,1.4764,1.69398,1.58564,0.56943,0.54318,0.56918,0.28523,1.7011,1.91752,1.81987,0.0009208,0.0009208,0.0009208
14,115.214,1.51096,1.69521,1.60953,0.47143,0.54097,0.52875,0.25041,1.78049,1.86299,1.82591,0.0009142,0.0009142,0.0009142
15,123.144,1.50082,1.69401,1.59686,0.70312,0.51859,0.58803,0.29071,1.75391,1.75357,1.76932,0.0009076,0.0009076,0.0009076
16,131.014,1.47558,1.65594,1.58994,0.81025,0.45597,0.58167,0.29222,1.69976,1.7854,1.75538,0.000901,0.000901,0.000901
17,138.878,1.48372,1.64414,1.59042,0.49291,0.61002,0.6041,0.30979,1.6301,1.68461,1.71093,0.0008944,0.0008944,0.0008944
18,146.826,1.44167,1.60583,1.5757,0.74537,0.54525,0.62729,0.32266,1.69787,1.61779,1.74646,0.0008878,0.0008878,0.0008878
19,154.785,1.47306,1.60641,1.59028,0.5652,0.51785,0.58805,0.29588,1.68996,1.68027,1.74978,0.0008812,0.0008812,0.0008812
20,162.691,1.44473,1.54966,1.55589,0.53411,0.61783,0.6202,0.31551,1.64991,1.59158,1.70032,0.0008746,0.0008746,0.0008746
21,170.828,1.45322,1.55679,1.56421,0.54238,0.55229,0.57944,0.31518,1.64338,1.60115,1.69001,0.000868,0.000868,0.000868
22,178.66,1.43077,1.50544,1.55468,0.51134,0.63216,0.62377,0.32366,1.62797,1.60107,1.67508,0.0008614,0.0008614,0.0008614
23,186.6,1.42943,1.55358,1.55983,0.55066,0.60057,0.60569,0.31015,1.66021,1.73613,1.74003,0.0008548,0.0008548,0.0008548
24,194.48,1.44566,1.55928,1.56422,0.73993,0.53959,0.62338,0.3161,1.64973,1.56813,1.73129,0.0008482,0.0008482,0.0008482
25,202.394,1.44688,1.53182,1.55718,0.73502,0.55557,0.62974,0.32937,1.62626,1.63874,1.66008,0.0008416,0.0008416,0.0008416
26,210.379,1.40634,1.4886,1.53515,0.69184,0.59672,0.63825,0.32645,1.63805,1.58658,1.67512,0.000835,0.000835,0.000835
27,218.233,1.42038,1.49059,1.52844,0.58723,0.554,0.61182,0.32264,1.66782,1.55979,1.68967,0.0008284,0.0008284,0.0008284
28,226.142,1.42043,1.52845,1.55502,0.52888,0.6008,0.61014,0.32664,1.66035,1.57434,1.73963,0.0008218,0.0008218,0.0008218
29,234.01,1.41251,1.49941,1.53847,0.61338,0.59921,0.64574,0.32903,1.65684,1.51804,1.75789,0.0008152,0.0008152,0.0008152
30,241.82,1.39742,1.4771,1.54013,0.57859,0.67709,0.64314,0.32709,1.6384,1.49662,1.68439,0.0008086,0.0008086,0.0008086
31,249.737,1.41429,1.46468,1.54216,0.58795,0.63101,0.66949,0.35673,1.56769,1.45296,1.68099,0.000802,0.000802,0.000802
32,257.631,1.38404,1.42051,1.52641,0.64038,0.60007,0.63844,0.33409,1.60818,1.4977,1.68354,0.0007954,0.0007954,0.0007954
33,265.539,1.39975,1.44769,1.53904,0.69712,0.58672,0.65075,0.33793,1.65749,1.47738,1.73189,0.0007888,0.0007888,0.0007888
34,273.373,1.39241,1.43045,1.53909,0.60372,0.65507,0.67999,0.3567,1.58356,1.42346,1.67218,0.0007822,0.0007822,0.0007822
35,281.228,1.39486,1.43623,1.53422,0.64234,0.61781,0.67561,0.35549,1.61251,1.41842,1.69109,0.0007756,0.0007756,0.0007756
36,289.084,1.37194,1.41159,1.5162,0.57823,0.64438,0.64596,0.33575,1.56485,1.4767,1.65857,0.000769,0.000769,0.000769
37,296.936,1.3703,1.41265,1.52165,0.60303,0.61667,0.66752,0.3441,1.62296,1.43436,1.669,0.0007624,0.0007624,0.0007624
38,304.814,1.37318,1.3959,1.50132,0.60354,0.65504,0.68362,0.36649,1.5764,1.38516,1.65091,0.0007558,0.0007558,0.0007558
39,312.887,1.39407,1.41344,1.5312,0.61658,0.60556,0.64945,0.351,1.62225,1.46654,1.69867,0.0007492,0.0007492,0.0007492
40,320.865,1.39419,1.41392,1.52276,0.63986,0.61149,0.67679,0.36628,1.56729,1.45294,1.67424,0.0007426,0.0007426,0.0007426
41,328.72,1.37189,1.42028,1.52032,0.56686,0.64435,0.66944,0.36236,1.61653,1.42,1.66939,0.000736,0.000736,0.000736
42,336.603,1.34599,1.38898,1.50434,0.67837,0.62756,0.68927,0.37096,1.56415,1.40341,1.6704,0.0007294,0.0007294,0.0007294
43,344.632,1.35548,1.39551,1.50692,0.6275,0.61399,0.65394,0.33535,1.64395,1.42761,1.6896,0.0007228,0.0007228,0.0007228
44,352.706,1.36455,1.40098,1.51431,0.58929,0.63253,0.66128,0.34711,1.65285,1.44376,1.72503,0.0007162,0.0007162,0.0007162
45,360.59,1.33172,1.33518,1.48374,0.57278,0.63578,0.67368,0.35164,1.58812,1.43068,1.66725,0.0007096,0.0007096,0.0007096
46,368.495,1.3457,1.31777,1.47879,0.5778,0.6661,0.66869,0.36696,1.53435,1.37402,1.63518,0.000703,0.000703,0.000703
47,376.407,1.32881,1.32494,1.47424,0.68721,0.60679,0.643,0.34942,1.57851,1.47739,1.65447,0.0006964,0.0006964,0.0006964
48,384.265,1.32277,1.31797,1.48811,0.57919,0.56328,0.59958,0.31219,1.69049,1.46451,1.74239,0.0006898,0.0006898,0.0006898
