epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0875,1.83471,3.29619,1.90787,0.30604,0.3579,0.29993,0.12679,1.96937,4.30014,2.07945,0.000329114,0.000329114,0.000329114
2,19.7624,1.67736,2.10049,1.75403,0.46793,0.31186,0.3327,0.12406,2.13362,2.77033,2.36112,0.000658075,0.000658075,0.000658075
3,28.4384,1.74346,2.03747,1.76466,0.56699,0.30982,0.28592,0.12291,2.1853,3.01358,2.27549,0.000982636,0.000982636,0.000982636
4,37.2213,1.70725,2.02429,1.76554,0.41431,0.37855,0.28165,0.11284,2.09629,3.36894,2.13038,0.0009802,0.0009802,0.0009802
5,45.7969,1.68896,1.92846,1.76947,0.39034,0.31418,0.34696,0.14483,2.07577,2.59795,2.14822,0.0009736,0.0009736,0.0009736
6,54.8397,1.65556,1.89822,1.72192,0.2636,0.44071,0.32051,0.12938,2.02531,2.6811,2.09721,0.000967,0.000967,0.000967
7,63.786,1.60158,1.8234,1.69032,0.2236,0.43018,0.33888,0.15055,1.96928,2.42515,2.08874,0.0009604,0.0009604,0.0009604
8,72.4458,1.5841,1.76419,1.67323,0.67543,0.47527,0.52748,0.23692,1.90742,1.84589,1.90151,0.0009538,0.0009538,0.0009538
9,81.2468,1.57417,1.75367,1.67055,0.59038,0.55161,0.59232,0.27433,1.7997,1.78236,1.88071,0.0009472,0.0009472,0.0009472
10,90.1158,1.55108,1.7288,1.65411,0.49693,0.55518,0.58014,0.28418,1.7596,1.77561,1.82533,0.0009406,0.0009406,0.0009406
11,98.9119,1.55366,1.69048,1.64738,0.70455,0.53297,0.5745,0.27509,1.80618,1.67472,1.87024,0.000934,0.000934,0.000934
12,107.49,1.53849,1.69178,1.64319,0.5512,0.57598,0.59804,0.2955,1.73717,1.65968,1.75994,0.0009274,0.0009274,0.0009274
13,116.255,1.50839,1.6189,1.61344,0.67457,0.52033,0.56317,0.28869,1.72632,1.64453,1.80035,0.0009208,0.0009208,0.0009208
14,124.762,1.52776,1.64111,1.63603,0.54375,0.55505,0.60202,0.27797,1.72633,1.63206,1.83821,0.0009142,0.0009142,0.0009142
15,133.286,1.50968,1.61482,1.62163,0.51724,0.61208,0.59671,0.30006,1.64833,1.62735,1.72535,0.0009076,0.0009076,0.0009076
16,142.161,1.48036,1.57677,1.60431,0.55755,0.59115,0.58782,0.29821,1.70291,1.64759,1.78557,0.000901,0.000901,0.000901
17,150.601,1.49142,1.58898,1.60689,0.52153,0.5644,0.59318,0.29681,1.77434,1.64131,1.84158,0.0008944,0.0008944,0.0008944
18,159.642,1.46359,1.54614,1.59469,0.71176,0.51478,0.58214,0.28607,1.73305,1.66399,1.77724,0.0008878,0.0008878,0.0008878
19,168.102,1.48442,1.5525,1.61073,0.66042,0.56942,0.61273,0.30795,1.69495,1.64375,1.74793,0.0008812,0.0008812,0.0008812
20,177.145,1.45419,1.50867,1.58344,0.58177,0.5261,0.60764,0.32128,1.6854,1.53535,1.73716,0.0008746,0.0008746,0.0008746
21,185.948,1.47006,1.53952,1.60988,0.55459,0.55938,0.59556,0.3072,1.71155,1.53725,1.77439,0.000868,0.000868,0.000868
22,194.284,1.45346,1.48176,1.57816,0.5636,0.5937,0.63321,0.3077,1.67063,1.63167,1.73404,0.0008614,0.0008614,0.0008614
23,202.715,1.44716,1.54071,1.58371,0.59107,0.60874,0.63266,0.31271,1.70664,1.6025,1.77323,0.0008548,0.0008548,0.0008548
24,211.069,1.44881,1.49623,1.58137,0.56186,0.49793,0.52926,0.26497,1.76374,1.78186,1.84337,0.0008482,0.0008482,0.0008482
25,219.391,1.45015,1.46332,1.57248,0.58715,0.56737,0.61776,0.31737,1.63672,1.57572,1.69947,0.0008416,0.0008416,0.0008416
26,227.941,1.42025,1.43746,1.55666,0.61541,0.58352,0.63125,0.32157,1.66573,1.48052,1.71782,0.000835,0.000835,0.000835
27,236.707,1.42984,1.46751,1.56129,0.60232,0.52575,0.58323,0.29963,1.68658,1.59776,1.74054,0.0008284,0.0008284,0.0008284
28,245.307,1.45063,1.4879,1.57719,0.59665,0.62271,0.63114,0.31693,1.70364,1.51251,1.76918,0.0008218,0.0008218,0.0008218
29,253.705,1.41126,1.46626,1.56107,0.71311,0.54603,0.61883,0.31033,1.68863,1.60047,1.78116,0.0008152,0.0008152,0.0008152
30,262.023,1.40635,1.44279,1.56071,0.68477,0.57714,0.67075,0.34501,1.62598,1.41755,1.70094,0.0008086,0.0008086,0.0008086
31,270.792,1.42073,1.44483,1.55848,0.57938,0.6483,0.66427,0.34696,1.64295,1.46302,1.74629,0.000802,0.000802,0.000802
32,279.272,1.4055,1.39155,1.54865,0.63131,0.63924,0.66814,0.35618,1.60365,1.42365,1.68619,0.0007954,0.0007954,0.0007954
33,287.953,1.39225,1.37716,1.54677,0.5313,0.62259,0.64464,0.33957,1.62449,1.44427,1.71622,0.0007888,0.0007888,0.0007888
34,296.511,1.38455,1.37906,1.54039,0.62478,0.63127,0.67135,0.35698,1.60385,1.36201,1.69753,0.0007822,0.0007822,0.0007822
35,305.203,1.40111,1.39251,1.54853,0.53438,0.6367,0.62913,0.33265,1.67796,1.42292,1.73078,0.0007756,0.0007756,0.0007756
36,313.484,1.42378,1.40617,1.54456,0.5616,0.64925,0.6413,0.32413,1.60116,1.45401,1.68247,0.000769,0.000769,0.000769
37,321.788,1.40231,1.40782,1.53976,0.607,0.61635,0.64676,0.31034,1.73066,1.46769,1.75867,0.0007624,0.0007624,0.0007624
38,330.354,1.3905,1.39029,1.53297,0.58556,0.63104,0.65453,0.34783,1.60633,1.42759,1.69587,0.0007558,0.0007558,0.0007558
39,338.681,1.39755,1.38864,1.55038,0.5775,0.63431,0.64602,0.34793,1.60025,1.55474,1.68923,0.0007492,0.0007492,0.0007492
40,346.953,1.3885,1.37133,1.5373,0.6106,0.65052,0.67036,0.36,1.58304,1.44807,1.66635,0.0007426,0.0007426,0.0007426
41,355.496,1.36124,1.37838,1.5287,0.60327,0.64505,0.66765,0.35549,1.611,1.38522,1.69646,0.000736,0.000736,0.000736
42,363.899,1.35564,1.32728,1.50656,0.6021,0.64629,0.65982,0.32266,1.69928,1.42871,1.73645,0.0007294,0.0007294,0.0007294
43,372.497,1.3745,1.33842,1.51282,0.73991,0.58209,0.65167,0.33932,1.62143,1.38181,1.67748,0.0007228,0.0007228,0.0007228
