epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4689,3.48751,4.24005,4.06044,0.00084,0.20635,0.01772,0.00385,3.7182,4.71524,4.10845,0.00032963,0.00032963,0.00032963
2,52.4208,3.01635,3.79068,3.47853,0.87226,0.04491,0.03052,0.00757,3.19463,5.63267,3.49429,0.000660775,0.000660775,0.000660775
3,80.4051,2.62166,3.33186,2.99216,0.37013,0.15736,0.02569,0.00711,2.84291,10.6326,3.16771,0.000989721,0.000989721,0.000989721
4,106.208,2.34159,3.09531,2.79058,0.74422,0.07815,0.05267,0.01804,2.59637,7.48492,3.1485,0.0009901,0.0009901,0.0009901
5,134.513,2.19167,2.87604,2.63048,0.30446,0.21193,0.12143,0.04103,2.38269,4.85727,2.67809,0.0009868,0.0009868,0.0009868
6,162.481,2.08311,2.69697,2.50839,0.23182,0.38599,0.23549,0.08465,2.1702,3.10859,2.51316,0.0009835,0.0009835,0.0009835
7,190.516,1.98631,2.53649,2.42857,0.2378,0.36157,0.23577,0.0841,2.18817,2.79604,2.46718,0.0009802,0.0009802,0.0009802
8,216.045,1.91751,2.40298,2.35842,0.49161,0.32327,0.31314,0.12159,2.11965,2.60751,2.39261,0.0009769,0.0009769,0.0009769
9,243.613,1.89199,2.30175,2.31413,0.39858,0.31032,0.26183,0.09512,2.11502,2.75045,2.46781,0.0009736,0.0009736,0.0009736
10,269.384,1.83912,2.30616,2.26605,0.56783,0.34896,0.38125,0.16236,1.9535,2.36367,2.21848,0.0009703,0.0009703,0.0009703
11,297.234,1.81121,2.23949,2.23095,0.55008,0.37966,0.38122,0.14856,2.00295,2.48263,2.28666,0.000967,0.000967,0.000967
12,322.834,1.8073,2.21349,2.21865,0.45912,0.39614,0.36128,0.14163,2.04564,2.84827,2.32026,0.0009637,0.0009637,0.0009637
13,348.416,1.76841,2.1579,2.20467,0.58393,0.40783,0.38986,0.15898,1.96374,2.3652,2.29879,0.0009604,0.0009604,0.0009604
14,373.932,1.74157,2.15507,2.16929,0.54664,0.40563,0.39907,0.16433,1.96842,2.52798,2.23327,0.0009571,0.0009571,0.0009571
15,401.536,1.73479,2.10095,2.14121,0.56239,0.49025,0.50225,0.20275,1.98352,2.093,2.21783,0.0009538,0.0009538,0.0009538
16,429.085,1.74313,2.07402,2.16148,0.72564,0.37992,0.44039,0.19617,1.87126,2.1724,2.16955,0.0009505,0.0009505,0.0009505
17,454.574,1.6865,1.99682,2.11848,0.42958,0.52043,0.46641,0.18019,1.95164,2.23298,2.20536,0.0009472,0.0009472,0.0009472
18,480.263,1.70295,2.01946,2.12059,0.56236,0.39116,0.38337,0.15352,1.99908,2.39644,2.37035,0.0009439,0.0009439,0.0009439
19,505.841,1.70582,1.96689,2.10443,0.60525,0.41696,0.44429,0.18043,1.93142,2.2523,2.27207,0.0009406,0.0009406,0.0009406
20,531.307,1.67288,1.96616,2.08836,0.62356,0.40526,0.37404,0.15663,1.96504,2.38207,2.27556,0.0009373,0.0009373,0.0009373
21,556.944,1.64757,1.91017,2.0659,0.61517,0.45253,0.51702,0.21357,1.89391,1.99813,2.17538,0.000934,0.000934,0.000934
22,584.409,1.6675,1.95121,2.08664,0.40781,0.5347,0.47781,0.20386,1.95298,2.04904,2.26391,0.0009307,0.0009307,0.0009307
23,610.018,1.63725,1.89976,2.04315,0.61128,0.49097,0.52435,0.22785,1.92205,1.96287,2.16694,0.0009274,0.0009274,0.0009274
24,637.507,1.61073,1.85146,2.01569,0.65714,0.49112,0.53616,0.22987,1.89728,1.92329,2.16975,0.0009241,0.0009241,0.0009241
25,665.254,1.61496,1.90517,2.03741,0.61629,0.46989,0.48544,0.20943,1.85245,1.94804,2.1202,0.0009208,0.0009208,0.0009208
26,690.858,1.60313,1.83486,2.02502,0.44036,0.33131,0.25907,0.08989,2.11857,2.83408,2.48617,0.0009175,0.0009175,0.0009175
27,716.573,1.61468,1.843,2.00686,0.53177,0.54736,0.52549,0.23119,1.87986,2.06323,2.1233,0.0009142,0.0009142,0.0009142
28,744.009,1.62505,1.83683,2.0306,0.50211,0.56954,0.5606,0.23436,1.84924,1.86064,2.13811,0.0009109,0.0009109,0.0009109
29,771.462,1.60496,1.82722,2.0102,0.39387,0.51794,0.47018,0.19521,1.88742,2.03969,2.20215,0.0009076,0.0009076,0.0009076
30,796.957,1.60356,1.83411,2.01017,0.59471,0.50947,0.5284,0.21939,1.87245,2.01159,2.13959,0.0009043,0.0009043,0.0009043
31,822.428,1.57744,1.76354,1.96128,0.68599,0.47814,0.56869,0.24331,1.82653,1.93092,2.0758,0.000901,0.000901,0.000901
