epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7063,3.48272,4.24668,4.06945,0.00089,0.21449,0.0082,0.00157,3.72304,4.63978,4.1104,0.00032963,0.00032963,0.00032963
2,36.4125,3.01998,3.86988,3.57347,0.69816,0.07162,0.02091,0.0053,3.0431,4.94432,3.32606,0.000660775,0.000660775,0.000660775
3,51.154,2.63243,3.49014,3.09447,0.1991,0.06979,0.01335,0.00297,2.9195,5.01107,3.21329,0.000989721,0.000989721,0.000989721
4,64.9137,2.38968,3.18301,2.83356,0.37461,0.05407,0.03043,0.00814,2.80529,5.2404,3.03594,0.0009901,0.0009901,0.0009901
5,79.6378,2.22918,2.99742,2.68981,0.52796,0.26838,0.16976,0.05829,2.42907,4.5786,2.79912,0.0009868,0.0009868,0.0009868
6,94.5276,2.13783,2.82242,2.56631,0.35668,0.36849,0.16609,0.05663,2.23749,3.33346,2.55513,0.0009835,0.0009835,0.0009835
7,108.251,2.03319,2.67093,2.49428,0.56918,0.25969,0.30887,0.12028,2.0834,2.66692,2.42666,0.0009802,0.0009802,0.0009802
8,122.986,1.95236,2.54655,2.407,0.32033,0.32227,0.20498,0.07249,2.23134,2.94508,2.48717,0.0009769,0.0009769,0.0009769
9,136.779,1.91931,2.41552,2.36026,0.57152,0.31388,0.30484,0.11338,2.05715,2.7008,2.38479,0.0009736,0.0009736,0.0009736
10,150.526,1.84921,2.40365,2.31262,0.5116,0.34254,0.38959,0.15203,2.02107,2.41907,2.3699,0.0009703,0.0009703,0.0009703
11,165.272,1.8333,2.30229,2.27192,0.30581,0.44696,0.31759,0.11802,2.07753,2.56625,2.30678,0.000967,0.000967,0.000967
12,179.04,1.83331,2.30447,2.25984,0.47429,0.34971,0.32182,0.13432,2.00338,2.63828,2.32977,0.0009637,0.0009637,0.0009637
13,193.152,1.78216,2.22665,2.22768,0.65119,0.36378,0.36997,0.15507,2.00161,3.36176,2.36843,0.0009604,0.0009604,0.0009604
14,207.969,1.76673,2.19561,2.21277,0.52042,0.39367,0.36318,0.13993,1.98964,2.43833,2.26313,0.0009571,0.0009571,0.0009571
