epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8683,1.79789,3.25789,1.8662,0.24089,0.51237,0.30479,0.11458,2.02623,3.81408,2.16863,0.00032963,0.00032963,0.00032963
2,31.9418,1.71276,2.09871,1.74256,0.36454,0.35233,0.23254,0.08571,2.30987,3.25646,2.47648,0.000660775,0.000660775,0.000660775
3,45.2767,1.70257,1.9637,1.74676,0.46148,0.45771,0.34588,0.12846,2.01559,2.74173,2.19451,0.000989721,0.000989721,0.000989721
4,59.5341,1.67896,1.9388,1.75544,0.28791,0.44594,0.32171,0.13255,2.09509,2.47747,2.27905,0.0009901,0.0009901,0.0009901
5,73.7623,1.65131,1.90488,1.72546,0.49696,0.38928,0.36069,0.15494,2.08234,2.16184,2.18847,0.0009868,0.0009868,0.0009868
6,87.9909,1.60531,1.80726,1.67763,0.35471,0.61693,0.45009,0.19416,1.83856,2.18564,1.96087,0.0009835,0.0009835,0.0009835
7,102.252,1.62456,1.78129,1.68372,0.65401,0.43757,0.47972,0.2049,1.94827,2.19933,2.07066,0.0009802,0.0009802,0.0009802
8,116.684,1.5883,1.73192,1.66019,0.48722,0.54468,0.52672,0.22461,1.76819,1.93861,1.96409,0.0009769,0.0009769,0.0009769
9,130.932,1.54525,1.68602,1.62923,0.51341,0.56828,0.51882,0.23288,1.75883,1.83431,1.9708,0.0009736,0.0009736,0.0009736
10,145.165,1.51963,1.68953,1.63674,0.69449,0.36666,0.49168,0.22087,1.8176,1.94864,2.04863,0.0009703,0.0009703,0.0009703
11,158.58,1.51815,1.64127,1.6178,0.65623,0.46177,0.5343,0.25109,1.78537,1.91299,1.89901,0.000967,0.000967,0.000967
12,172.862,1.52972,1.62692,1.63222,0.48228,0.54747,0.53969,0.24507,1.7374,1.80027,1.90511,0.0009637,0.0009637,0.0009637
