epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.79,4.22934,14.3141,0.10252,0.0001,0.01699,1e-05,0,4.77862,17.5719,0.13905,0.00032963,0.00032963,0.00032963
2,41.1719,3.94592,10.2408,0.09732,0.00097,0.08246,0.00167,0.00027,4.762,13.1072,0.132,0.000658587,0.000658587,0.000658587
3,53.9904,3.50242,6.53788,0.08925,0.00128,0.10811,0.00176,0.00023,4.16081,7.57118,0.11812,0.000983145,0.000983145,0.000983145
4,66.0351,3.17445,4.87243,0.08067,0.00314,0.22727,0.01468,0.00365,3.86449,5.58794,0.11334,0.0009802,0.0009802,0.0009802
5,79.5352,2.93531,4.21608,0.07217,0.86119,0.05613,0.05122,0.01236,2.99445,4.09833,0.08633,0.0009736,0.0009736,0.0009736
6,91.9885,2.78929,3.90161,0.06907,0.85861,0.08463,0.0507,0.01487,3.11912,4.25926,0.0888,0.000967,0.000967,0.000967
7,104.219,2.63607,3.63964,0.06338,0.58391,0.10549,0.09136,0.02849,2.6329,3.57918,0.07307,0.0009604,0.0009604,0.0009604
8,117.544,2.55537,3.45273,0.06056,0.60303,0.09603,0.10485,0.03594,2.53678,3.48835,0.06907,0.0009538,0.0009538,0.0009538
9,129.775,2.52627,3.28729,0.05915,0.60791,0.05424,0.0519,0.01591,2.70096,4.22491,0.07238,0.0009472,0.0009472,0.0009472
10,141.778,2.39702,3.20461,0.05519,0.62354,0.10998,0.09266,0.02927,2.66528,3.55476,0.07217,0.0009406,0.0009406,0.0009406
11,154.945,2.33127,3.06094,0.05308,0.35007,0.13386,0.15046,0.05258,2.3345,3.15261,0.05932,0.000934,0.000934,0.000934
12,167.145,2.3289,2.96266,0.05371,0.38822,0.11488,0.12641,0.03505,2.33667,3.08637,0.0585,0.0009274,0.0009274,0.0009274
13,180.076,2.26555,2.89475,0.05184,0.50752,0.09639,0.07197,0.02307,2.7182,4.23735,0.07119,0.0009208,0.0009208,0.0009208
14,192.219,2.19993,2.83984,0.04821,0.38512,0.11764,0.13958,0.05296,2.20022,3.07986,0.05443,0.0009142,0.0009142,0.0009142
