epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92755,3.50993,4.61087,4.13641,0.00062,0.13687,0.02256,0.00839,3.7288,4.72413,4.13004,0.00032963,0.00032963,0.00032963
2,19.8968,3.18453,4.25282,3.70127,0.00368,0.33945,0.00615,0.00147,3.16764,4.53956,3.67106,0.000652024,0.000652024,0.000652024
3,29.1534,2.90314,3.99618,3.3451,0.31181,0.17306,0.08648,0.02918,2.81788,3.76254,3.18187,0.000963419,0.000963419,0.000963419
4,38.6204,2.7178,3.6728,3.09326,0.42697,0.13834,0.07545,0.01991,2.7517,3.94345,3.08022,0.0009505,0.0009505,0.0009505
5,47.9006,2.54573,3.39688,2.94691,0.49656,0.21882,0.15204,0.04257,2.51265,3.36352,2.86579,0.000934,0.000934,0.000934
6,57.4572,2.44408,3.1731,2.82451,0.3012,0.30934,0.12786,0.0336,2.50183,3.66033,2.90026,0.0009175,0.0009175,0.0009175
7,66.7801,2.33521,3.04265,2.74882,0.5479,0.21818,0.20085,0.06888,2.42763,2.97058,2.79044,0.000901,0.000901,0.000901
8,76.1723,2.25483,2.90517,2.66961,0.38965,0.08267,0.0687,0.0187,3.15385,5.54345,3.5838,0.0008845,0.0008845,0.0008845
9,85.3155,2.19959,2.79194,2.59671,0.3942,0.33069,0.224,0.07219,2.2446,2.85226,2.54739,0.000868,0.000868,0.000868
10,94.6493,2.13474,2.69737,2.54317,0.47379,0.23027,0.23473,0.08338,2.225,2.77444,2.54876,0.0008515,0.0008515,0.0008515
11,104.456,2.09842,2.57356,2.49375,0.48927,0.2933,0.27869,0.09697,2.14664,2.63101,2.50262,0.000835,0.000835,0.000835
12,113.782,2.0293,2.47866,2.45224,0.47374,0.28402,0.22892,0.08951,2.17698,2.93597,2.59497,0.0008185,0.0008185,0.0008185
13,122.962,1.99384,2.43114,2.42169,0.33617,0.40635,0.35131,0.14089,2.04908,2.33173,2.49484,0.000802,0.000802,0.000802
14,132.337,1.95918,2.37726,2.37189,0.40042,0.39873,0.35626,0.14281,2.09906,2.34792,2.40193,0.0007855,0.0007855,0.0007855
15,141.672,1.91258,2.29381,2.32463,0.27786,0.36393,0.2496,0.09749,2.17599,2.70561,2.563,0.000769,0.000769,0.000769
16,150.808,1.9028,2.23519,2.32424,0.61418,0.1736,0.18998,0.07894,2.42876,3.23571,2.7406,0.0007525,0.0007525,0.0007525
17,160.199,1.87447,2.18631,2.27542,0.61513,0.4552,0.4805,0.20312,1.90415,2.16767,2.32302,0.000736,0.000736,0.000736
18,169.618,1.85004,2.16808,2.26402,0.53136,0.45952,0.48309,0.21219,1.86697,2.15323,2.22404,0.0007195,0.0007195,0.0007195
19,180.111,1.80136,2.08785,2.20226,0.42972,0.4392,0.43222,0.19599,1.99442,2.26008,2.3642,0.000703,0.000703,0.000703
20,190.907,1.80729,2.06564,2.22121,0.3617,0.39234,0.36097,0.13947,2.05916,2.46811,2.47149,0.0006865,0.0006865,0.0006865
21,201.487,1.79628,2.03623,2.19364,0.77381,0.36913,0.4909,0.22762,1.86109,2.10003,2.25416,0.00067,0.00067,0.00067
22,212.16,1.78004,2.02181,2.18971,0.72896,0.40049,0.50754,0.23621,1.8474,2.01955,2.21783,0.0006535,0.0006535,0.0006535
23,222.883,1.75647,1.97676,2.16168,0.51091,0.50878,0.53581,0.2496,1.82575,1.94802,2.1867,0.000637,0.000637,0.000637
24,233.807,1.73201,1.95672,2.14764,0.55032,0.49263,0.52055,0.2311,1.86912,1.9679,2.24,0.0006205,0.0006205,0.0006205
25,244.582,1.71399,1.92055,2.12989,0.67893,0.4631,0.5648,0.24643,1.8985,1.94181,2.25468,0.000604,0.000604,0.000604
26,255.488,1.70259,1.91568,2.1209,0.69532,0.44449,0.53743,0.24587,1.79471,2.00703,2.17863,0.0005875,0.0005875,0.0005875
27,266.315,1.69601,1.87152,2.10371,0.46716,0.46658,0.46348,0.20258,1.94128,2.13408,2.30733,0.000571,0.000571,0.000571
28,277.018,1.66395,1.85083,2.08362,0.55855,0.48927,0.53794,0.24646,1.82344,1.98495,2.18809,0.0005545,0.0005545,0.0005545
