epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8157,1.79659,3.21685,1.87358,0.51743,0.09746,0.20018,0.08592,1.90088,3.42767,2.05559,0.00032963,0.00032963,0.00032963
2,28.7304,1.64928,2.41992,1.72172,0.47176,0.44175,0.28317,0.10656,1.99351,5.0858,2.26878,0.000658587,0.000658587,0.000658587
3,41.9236,1.63214,2.21626,1.72393,0.29867,0.47389,0.34474,0.13534,1.92723,3.2493,2.10221,0.000983145,0.000983145,0.000983145
4,54.8413,1.62951,2.10466,1.70952,0.62548,0.29238,0.34923,0.13295,2.0457,2.66755,2.11217,0.0009802,0.0009802,0.0009802
5,67.3859,1.59496,2.02518,1.67685,0.51193,0.3894,0.34213,0.15294,1.93117,2.55367,2.07822,0.0009736,0.0009736,0.0009736
6,80.4882,1.59354,1.97352,1.67625,0.56298,0.49366,0.47221,0.19664,1.82341,2.90665,1.93017,0.000967,0.000967,0.000967
7,93.425,1.5828,1.9143,1.64869,0.52893,0.5302,0.51327,0.21843,1.78236,2.09743,1.9564,0.0009604,0.0009604,0.0009604
8,106.17,1.53741,1.79915,1.62514,0.5069,0.51848,0.50225,0.23259,1.74141,2.07603,1.91486,0.0009538,0.0009538,0.0009538
9,119.073,1.5256,1.7852,1.61616,0.6354,0.46886,0.51447,0.2249,1.71193,2.0914,1.89738,0.0009472,0.0009472,0.0009472
10,131.657,1.50969,1.77181,1.61042,0.69542,0.47834,0.56153,0.25982,1.72404,1.93481,1.97621,0.0009406,0.0009406,0.0009406
11,144.441,1.51213,1.70183,1.60004,0.62094,0.47682,0.48553,0.24437,1.74059,1.99908,1.89386,0.000934,0.000934,0.000934
12,156.879,1.51166,1.73226,1.61479,0.47816,0.55153,0.53568,0.25476,1.69712,1.89477,1.88308,0.0009274,0.0009274,0.0009274
13,169.358,1.47529,1.6725,1.58127,0.61665,0.51072,0.58918,0.27928,1.68425,1.77332,1.86274,0.0009208,0.0009208,0.0009208
14,182.029,1.4619,1.64644,1.57829,0.45378,0.50412,0.53903,0.23852,1.72401,1.77108,1.84737,0.0009142,0.0009142,0.0009142
15,194.656,1.47426,1.62215,1.57146,0.52809,0.65839,0.6472,0.30461,1.66796,1.70753,1.84542,0.0009076,0.0009076,0.0009076
16,207.553,1.44849,1.57757,1.56273,0.75176,0.52735,0.64541,0.30958,1.64747,1.60203,1.80789,0.000901,0.000901,0.000901
17,220.318,1.45848,1.57754,1.57168,0.56582,0.61925,0.65244,0.30053,1.69285,1.60052,1.86389,0.0008944,0.0008944,0.0008944
18,232.792,1.46262,1.57605,1.57739,0.57056,0.60828,0.6211,0.28625,1.6776,1.68044,1.82885,0.0008878,0.0008878,0.0008878
19,245.426,1.46098,1.57353,1.55624,0.68168,0.5288,0.57493,0.27338,1.74639,1.702,1.86377,0.0008812,0.0008812,0.0008812
20,257.971,1.44197,1.56319,1.55385,0.55343,0.60101,0.63018,0.30662,1.63201,1.66271,1.77786,0.0008746,0.0008746,0.0008746
21,270.417,1.43829,1.56937,1.56324,0.74055,0.53558,0.6648,0.31816,1.62471,1.61697,1.82194,0.000868,0.000868,0.000868
22,281.706,1.45936,1.56808,1.56567,0.54592,0.63057,0.61002,0.29002,1.6956,1.60044,1.85671,0.0008614,0.0008614,0.0008614
