epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1961,3.51312,4.37984,4.11169,0.00093,0.22233,0.0061,0.00126,3.72419,4.69138,4.10129,0.00032963,0.00032963,0.00032963
2,23.0462,3.12167,4.02492,3.67293,0.34159,0.07629,0.01257,0.00333,3.23899,4.98585,3.56108,0.000658587,0.000658587,0.000658587
3,34.21,2.79805,3.68462,3.22442,0.19681,0.10082,0.02178,0.00542,2.85189,4.98683,3.05457,0.000983145,0.000983145,0.000983145
4,45.325,2.53154,3.42162,2.95287,0.23841,0.1681,0.06319,0.01766,2.58658,3.84076,2.79783,0.0009802,0.0009802,0.0009802
5,56.6497,2.36084,3.17878,2.75692,0.25824,0.31309,0.08983,0.02702,2.42411,4.02768,2.69671,0.0009736,0.0009736,0.0009736
6,68.4375,2.22081,2.98122,2.6108,0.46713,0.26572,0.15177,0.04926,2.33948,4.66767,2.68111,0.000967,0.000967,0.000967
7,79.6215,2.11374,2.79731,2.51385,0.36218,0.24627,0.19622,0.07255,2.22325,3.15726,2.58778,0.0009604,0.0009604,0.0009604
8,90.7618,2.01833,2.67169,2.4186,0.53363,0.20463,0.19956,0.06573,2.24091,3.18898,2.5035,0.0009538,0.0009538,0.0009538
9,101.389,1.9877,2.52051,2.3547,0.24609,0.41508,0.28286,0.107,2.09626,2.85854,2.39154,0.0009472,0.0009472,0.0009472
10,112.176,1.88921,2.48967,2.2887,0.41911,0.3519,0.33638,0.13084,2.07993,2.50141,2.35763,0.0009406,0.0009406,0.0009406
11,123.077,1.89003,2.41718,2.26672,0.30582,0.40004,0.29654,0.1207,2.06164,2.44798,2.28649,0.000934,0.000934,0.000934
12,133.786,1.85115,2.36357,2.22427,0.45404,0.48812,0.38796,0.15765,2.00823,2.93123,2.25601,0.0009274,0.0009274,0.0009274
13,144.79,1.82018,2.31456,2.20542,0.42367,0.41226,0.29664,0.11364,2.0081,3.02506,2.32408,0.0009208,0.0009208,0.0009208
14,155.765,1.80071,2.28525,2.1801,0.44905,0.27184,0.25234,0.10185,2.06899,2.68464,2.34856,0.0009142,0.0009142,0.0009142
15,166.356,1.79536,2.24303,2.15319,0.60517,0.3387,0.32554,0.12819,2.00431,2.49328,2.35055,0.0009076,0.0009076,0.0009076
16,177.042,1.74194,2.1481,2.12057,0.38325,0.51363,0.50903,0.21605,1.89916,2.11801,2.18073,0.000901,0.000901,0.000901
17,187.984,1.74425,2.13612,2.11164,0.70087,0.37067,0.44248,0.18061,1.95185,2.23882,2.22244,0.0008944,0.0008944,0.0008944
18,199.07,1.72307,2.10389,2.10091,0.5365,0.44305,0.46728,0.19428,1.9381,2.14966,2.21324,0.0008878,0.0008878,0.0008878
19,209.962,1.71627,2.06142,2.07158,0.63789,0.43494,0.47087,0.19631,1.91328,2.26286,2.13891,0.0008812,0.0008812,0.0008812
20,220.565,1.70751,2.06489,2.06547,0.58525,0.41013,0.45271,0.18642,1.92225,2.06034,2.17168,0.0008746,0.0008746,0.0008746
21,231.104,1.69378,2.00882,2.04981,0.54497,0.3609,0.39242,0.15475,1.937,2.27441,2.2127,0.000868,0.000868,0.000868
22,241.76,1.69996,2.04744,2.06981,0.38377,0.55533,0.4541,0.18822,1.90983,2.0434,2.18558,0.0008614,0.0008614,0.0008614
23,252.321,1.67382,2.00096,2.03775,0.52809,0.49426,0.51729,0.22215,1.83998,2.06644,2.07415,0.0008548,0.0008548,0.0008548
24,263.256,1.64433,1.95551,2.01077,0.4537,0.58985,0.51918,0.22315,1.89631,2.08344,2.19616,0.0008482,0.0008482,0.0008482
25,274.209,1.64075,1.9959,2.01022,0.61926,0.43265,0.50907,0.21675,1.87836,1.96335,2.13505,0.0008416,0.0008416,0.0008416
26,284.946,1.63677,1.95615,2.01734,0.63218,0.49999,0.51659,0.22858,1.85493,2.13791,2.09685,0.000835,0.000835,0.000835
27,295.706,1.62628,1.9033,1.98891,0.50238,0.58615,0.56088,0.24337,1.82908,1.88149,2.0789,0.0008284,0.0008284,0.0008284
28,306.737,1.63072,1.8875,1.99209,0.51722,0.43741,0.39432,0.16709,1.90924,2.32281,2.19147,0.0008218,0.0008218,0.0008218
29,317.296,1.61226,1.89553,1.96204,0.76362,0.40723,0.52405,0.23087,1.84722,1.96577,2.08517,0.0008152,0.0008152,0.0008152
30,327.771,1.61852,1.90161,1.97102,0.55531,0.38769,0.40028,0.15858,1.96434,2.33881,2.21534,0.0008086,0.0008086,0.0008086
31,338.435,1.60714,1.83941,1.95131,0.57535,0.43206,0.42401,0.18136,1.95954,2.14327,2.17506,0.000802,0.000802,0.000802
32,348.913,1.59226,1.83944,1.94285,0.51232,0.55666,0.55149,0.23841,1.81461,1.83516,2.1223,0.0007954,0.0007954,0.0007954
33,359.367,1.56036,1.80959,1.92928,0.66691,0.46969,0.5286,0.22708,1.81559,1.93887,2.07694,0.0007888,0.0007888,0.0007888
34,369.745,1.58444,1.82309,1.9349,0.52965,0.54921,0.55551,0.26082,1.77832,1.8778,2.0463,0.0007822,0.0007822,0.0007822
35,380.499,1.59339,1.84154,1.93705,0.52165,0.59028,0.58431,0.26067,1.74823,1.84941,2.0643,0.0007756,0.0007756,0.0007756
36,390.958,1.56941,1.80803,1.93128,0.51411,0.56213,0.54426,0.23622,1.82388,1.82126,2.0977,0.000769,0.000769,0.000769
37,401.299,1.54369,1.77297,1.91132,0.50282,0.59074,0.58516,0.26558,1.7282,1.76746,2.01189,0.0007624,0.0007624,0.0007624
38,412.048,1.56087,1.74519,1.9048,0.52298,0.56104,0.54388,0.25246,1.79604,1.82059,2.1015,0.0007558,0.0007558,0.0007558
39,422.418,1.54394,1.77629,1.89523,0.53409,0.61772,0.59639,0.28125,1.74545,1.73216,2.04826,0.0007492,0.0007492,0.0007492
40,433.134,1.54003,1.7363,1.89745,0.52859,0.55933,0.54355,0.23968,1.84612,1.93012,2.12537,0.0007426,0.0007426,0.0007426
41,443.575,1.54038,1.71656,1.8835,0.44168,0.5645,0.51072,0.22118,1.84348,1.94376,2.10746,0.000736,0.000736,0.000736
42,454.291,1.55507,1.74306,1.90348,0.66283,0.5083,0.59393,0.27027,1.73512,1.81817,2.05353,0.0007294,0.0007294,0.0007294
43,464.805,1.53815,1.72702,1.8855,0.58029,0.49553,0.52754,0.23038,1.85667,2.02167,2.21412,0.0007228,0.0007228,0.0007228
44,475.282,1.52316,1.71846,1.8861,0.50634,0.58532,0.54982,0.24197,1.81085,1.81642,2.1121,0.0007162,0.0007162,0.0007162
45,485.726,1.54274,1.72561,1.88868,0.45233,0.54972,0.50103,0.21163,1.91339,2.02559,2.18446,0.0007096,0.0007096,0.0007096
46,496.167,1.50595,1.66684,1.86267,0.50027,0.57735,0.53803,0.23458,1.84654,1.84234,2.0915,0.000703,0.000703,0.000703
47,506.638,1.53027,1.72852,1.88508,0.53531,0.50447,0.4924,0.21059,1.84381,1.98793,2.1678,0.0006964,0.0006964,0.0006964
48,517.109,1.49099,1.68505,1.85096,0.56721,0.62552,0.6227,0.2914,1.72117,1.75261,2.02286,0.0006898,0.0006898,0.0006898
49,527.768,1.50039,1.67349,1.85409,0.61177,0.54013,0.62344,0.29842,1.69226,1.7497,2.03083,0.0006832,0.0006832,0.0006832
50,538.423,1.49699,1.66149,1.84863,0.62161,0.52685,0.57958,0.26127,1.82032,1.75789,2.10292,0.0006766,0.0006766,0.0006766
51,548.852,1.51104,1.65763,1.84827,0.58992,0.57765,0.59943,0.28145,1.71774,1.7025,2.03723,0.00067,0.00067,0.00067
52,559.335,1.49952,1.63746,1.83905,0.58689,0.53851,0.59134,0.27056,1.74812,1.85707,2.01635,0.0006634,0.0006634,0.0006634
53,570.041,1.49272,1.63973,1.84696,0.58119,0.63195,0.64256,0.3087,1.71383,1.63053,2.03204,0.0006568,0.0006568,0.0006568
54,580.797,1.46388,1.61635,1.82506,0.59121,0.52578,0.53704,0.23093,1.88083,1.95579,2.2219,0.0006502,0.0006502,0.0006502
55,591.273,1.4716,1.62871,1.82601,0.72822,0.52573,0.63737,0.30247,1.71843,1.62865,2.03382,0.0006436,0.0006436,0.0006436
56,601.892,1.49548,1.61624,1.83966,0.62163,0.61327,0.65913,0.31393,1.69412,1.61928,2.03536,0.000637,0.000637,0.000637
57,612.616,1.47459,1.58246,1.82087,0.55937,0.63705,0.65099,0.29939,1.71952,1.58417,2.0094,0.0006304,0.0006304,0.0006304
58,623.192,1.47909,1.61772,1.81145,0.51474,0.61202,0.61489,0.28335,1.72947,1.7337,2.02999,0.0006238,0.0006238,0.0006238
59,633.701,1.46097,1.59022,1.80123,0.68002,0.49367,0.57819,0.27507,1.72331,1.76185,2.06336,0.0006172,0.0006172,0.0006172
60,644.151,1.47592,1.60607,1.81368,0.78337,0.53385,0.67234,0.3179,1.6959,1.61857,2.02895,0.0006106,0.0006106,0.0006106
61,654.925,1.44982,1.57554,1.79611,0.57195,0.58013,0.61832,0.28377,1.73027,1.66481,2.06787,0.000604,0.000604,0.000604
62,665.327,1.4628,1.58827,1.8192,0.60892,0.64903,0.67584,0.3328,1.63868,1.60189,1.98514,0.0005974,0.0005974,0.0005974
63,676.258,1.4413,1.58681,1.79814,0.53725,0.6038,0.62912,0.30162,1.69272,1.63535,1.98971,0.0005908,0.0005908,0.0005908
64,686.932,1.43317,1.55698,1.78663,0.57239,0.62234,0.64027,0.30339,1.71256,1.64031,2.02764,0.0005842,0.0005842,0.0005842
65,697.422,1.4636,1.55828,1.81879,0.59756,0.62438,0.66234,0.31361,1.68914,1.58784,2.01353,0.0005776,0.0005776,0.0005776
66,707.823,1.44634,1.54615,1.8,0.62971,0.60614,0.6614,0.31923,1.6737,1.55875,2.01632,0.000571,0.000571,0.000571
67,718.297,1.4338,1.53299,1.7931,0.59157,0.61323,0.66044,0.3255,1.66185,1.55222,1.99465,0.0005644,0.0005644,0.0005644
68,728.828,1.4604,1.55505,1.80002,0.67939,0.53627,0.64993,0.30501,1.68287,1.63128,1.99731,0.0005578,0.0005578,0.0005578
69,739.399,1.41239,1.50898,1.76844,0.61173,0.62579,0.67162,0.31785,1.73128,1.56027,2.05336,0.0005512,0.0005512,0.0005512
70,749.935,1.42247,1.52441,1.77517,0.61217,0.65437,0.68073,0.33255,1.66358,1.56277,1.97992,0.0005446,0.0005446,0.0005446
71,760.402,1.43556,1.55317,1.77861,0.71557,0.54454,0.66203,0.31417,1.67987,1.56957,1.98464,0.000538,0.000538,0.000538
72,770.883,1.40908,1.49568,1.76202,0.57771,0.65407,0.66834,0.32746,1.67325,1.53582,1.97521,0.0005314,0.0005314,0.0005314
73,781.213,1.42647,1.50436,1.77043,0.69676,0.60625,0.67812,0.33134,1.66927,1.51087,2.01268,0.0005248,0.0005248,0.0005248
74,791.609,1.41882,1.50213,1.77619,0.59169,0.63971,0.67547,0.33303,1.66926,1.53397,1.99007,0.0005182,0.0005182,0.0005182
75,802.436,1.4155,1.4941,1.75999,0.70407,0.57599,0.66916,0.32746,1.67609,1.55015,1.9679,0.0005116,0.0005116,0.0005116
76,812.871,1.4132,1.52154,1.76173,0.61889,0.64975,0.69818,0.34214,1.63242,1.48912,1.97761,0.000505,0.000505,0.000505
77,823.521,1.39815,1.48917,1.74617,0.58224,0.57804,0.5919,0.27739,1.76591,1.696,2.0908,0.0004984,0.0004984,0.0004984
78,833.943,1.39325,1.4884,1.75374,0.66038,0.59469,0.67724,0.33482,1.63527,1.51634,1.96463,0.0004918,0.0004918,0.0004918
79,844.373,1.40263,1.4811,1.75814,0.60079,0.60517,0.63987,0.29359,1.72069,1.57176,2.02468,0.0004852,0.0004852,0.0004852
80,854.874,1.39343,1.47749,1.75411,0.62821,0.62758,0.68088,0.32962,1.66211,1.4851,1.97042,0.0004786,0.0004786,0.0004786
81,865.272,1.40797,1.47386,1.75626,0.56614,0.61184,0.63773,0.30259,1.71516,1.6252,2.00675,0.000472,0.000472,0.000472
82,876.425,1.39311,1.46431,1.74629,0.66676,0.58763,0.67127,0.32375,1.69229,1.55313,2.02183,0.0004654,0.0004654,0.0004654
83,887.221,1.41449,1.5006,1.76472,0.57198,0.63284,0.66784,0.32505,1.64649,1.52957,1.98768,0.0004588,0.0004588,0.0004588
84,898.065,1.39908,1.46334,1.7596,0.6438,0.62745,0.67931,0.33756,1.63019,1.47222,1.95383,0.0004522,0.0004522,0.0004522
85,908.885,1.39888,1.46598,1.74014,0.58679,0.67059,0.6787,0.32947,1.6764,1.49165,1.97933,0.0004456,0.0004456,0.0004456
86,919.349,1.3796,1.44848,1.73944,0.64454,0.60016,0.65781,0.32233,1.64153,1.54597,1.97736,0.000439,0.000439,0.000439
87,929.636,1.38472,1.44876,1.74089,0.63255,0.65786,0.69146,0.34246,1.62744,1.46822,1.98491,0.0004324,0.0004324,0.0004324
88,940.112,1.39411,1.45029,1.75681,0.57617,0.68564,0.6966,0.35144,1.62401,1.47399,1.96214,0.0004258,0.0004258,0.0004258
89,950.913,1.37446,1.43302,1.73035,0.57216,0.63008,0.65237,0.31837,1.68548,1.52999,1.999,0.0004192,0.0004192,0.0004192
90,961.381,1.36093,1.43345,1.72141,0.55698,0.65319,0.65863,0.32553,1.64512,1.5411,1.9736,0.0004126,0.0004126,0.0004126
91,971.803,1.37422,1.41967,1.73024,0.59203,0.66396,0.67718,0.32458,1.67382,1.50701,2.01784,0.000406,0.000406,0.000406
92,982.206,1.36337,1.43271,1.73486,0.58108,0.65345,0.67834,0.33341,1.67605,1.50126,1.98748,0.0003994,0.0003994,0.0003994
93,992.623,1.37543,1.40398,1.72617,0.66038,0.59069,0.67072,0.33299,1.67005,1.53274,1.9607,0.0003928,0.0003928,0.0003928
94,1003.1,1.37223,1.40998,1.72494,0.57925,0.67481,0.66039,0.33448,1.63201,1.50282,1.95251,0.0003862,0.0003862,0.0003862
95,1013.49,1.35995,1.39832,1.7117,0.61052,0.69343,0.69874,0.33295,1.67227,1.42972,1.97974,0.0003796,0.0003796,0.0003796
96,1023.79,1.35427,1.4025,1.71034,0.63044,0.63353,0.67649,0.3346,1.65063,1.48883,1.97011,0.000373,0.000373,0.000373
97,1034.21,1.34918,1.40672,1.71361,0.58022,0.61663,0.63366,0.29668,1.77976,1.60756,2.11376,0.0003664,0.0003664,0.0003664
98,1044.83,1.36221,1.38865,1.71006,0.64228,0.66238,0.70164,0.35093,1.61027,1.4296,1.93019,0.0003598,0.0003598,0.0003598
99,1056.01,1.35131,1.39108,1.71382,0.58974,0.66739,0.67852,0.33034,1.64437,1.48589,1.95745,0.0003532,0.0003532,0.0003532
100,1066.54,1.34918,1.39871,1.7033,0.61612,0.68064,0.69697,0.33799,1.65117,1.43517,1.97945,0.0003466,0.0003466,0.0003466
101,1076.94,1.34025,1.37518,1.71132,0.63957,0.66122,0.69669,0.34268,1.65225,1.44947,2.00306,0.00034,0.00034,0.00034
102,1087.34,1.3396,1.37054,1.69557,0.64004,0.67025,0.69652,0.34831,1.61542,1.42808,1.95316,0.0003334,0.0003334,0.0003334
103,1097.74,1.34746,1.38047,1.70556,0.57404,0.65092,0.66191,0.32442,1.65421,1.51703,1.97455,0.0003268,0.0003268,0.0003268
104,1108.25,1.33433,1.3605,1.69425,0.60326,0.66011,0.66836,0.3325,1.64058,1.49095,1.97678,0.0003202,0.0003202,0.0003202
105,1118.51,1.35319,1.37166,1.70295,0.66678,0.666,0.70534,0.34932,1.64263,1.41786,1.99543,0.0003136,0.0003136,0.0003136
106,1128.85,1.33104,1.34138,1.689,0.64404,0.6713,0.68692,0.34094,1.66384,1.44922,1.957,0.000307,0.000307,0.000307
107,1139.36,1.33622,1.36263,1.69075,0.59305,0.67828,0.69172,0.34627,1.64734,1.44432,1.97975,0.0003004,0.0003004,0.0003004
108,1149.77,1.32649,1.34311,1.68987,0.59078,0.67742,0.69355,0.34318,1.66123,1.44973,1.97237,0.0002938,0.0002938,0.0002938
109,1160.15,1.31438,1.34652,1.67871,0.64677,0.6661,0.69007,0.34218,1.64659,1.41459,1.98532,0.0002872,0.0002872,0.0002872
110,1170.52,1.32585,1.34726,1.69665,0.65169,0.65039,0.69544,0.34589,1.639,1.43199,1.9776,0.0002806,0.0002806,0.0002806
111,1180.97,1.3041,1.3396,1.67857,0.63783,0.65363,0.67582,0.33786,1.62391,1.4414,1.94501,0.000274,0.000274,0.000274
112,1191.4,1.32039,1.33445,1.68347,0.62268,0.67297,0.70031,0.34676,1.61423,1.40792,1.94365,0.0002674,0.0002674,0.0002674
113,1201.8,1.31827,1.33458,1.67899,0.59369,0.66379,0.66889,0.33523,1.64648,1.46185,1.97161,0.0002608,0.0002608,0.0002608
114,1212.3,1.31254,1.33554,1.68627,0.62272,0.67993,0.6987,0.34786,1.63187,1.41206,1.95698,0.0002542,0.0002542,0.0002542
115,1222.67,1.3159,1.33011,1.67793,0.58831,0.69316,0.70267,0.3529,1.60741,1.41452,1.94311,0.0002476,0.0002476,0.0002476
116,1233.38,1.3162,1.33231,1.66148,0.6069,0.65773,0.68628,0.34993,1.61961,1.39953,1.93218,0.000241,0.000241,0.000241
117,1244.29,1.31735,1.32912,1.68179,0.60575,0.67479,0.69832,0.34731,1.64326,1.40533,1.95821,0.0002344,0.0002344,0.0002344
118,1254.61,1.30029,1.31426,1.66499,0.63312,0.6569,0.69097,0.35179,1.60025,1.40473,1.93492,0.0002278,0.0002278,0.0002278
119,1264.81,1.29444,1.31256,1.66279,0.63017,0.63156,0.68061,0.34317,1.62142,1.4213,1.97339,0.0002212,0.0002212,0.0002212
120,1275.05,1.28207,1.29132,1.65381,0.61991,0.69024,0.70568,0.35105,1.63409,1.39794,1.96791,0.0002146,0.0002146,0.0002146
121,1285.22,1.29175,1.31377,1.65222,0.63285,0.67443,0.6981,0.34749,1.63665,1.38085,1.9737,0.000208,0.000208,0.000208
122,1295.5,1.29738,1.30701,1.66542,0.63906,0.66841,0.69447,0.35574,1.60187,1.38315,1.92484,0.0002014,0.0002014,0.0002014
123,1306.18,1.29117,1.27771,1.65605,0.58132,0.69684,0.6856,0.33191,1.64907,1.44745,1.9503,0.0001948,0.0001948,0.0001948
124,1316.47,1.29789,1.27148,1.64816,0.62077,0.65658,0.67967,0.34308,1.63032,1.43727,1.95934,0.0001882,0.0001882,0.0001882
125,1326.9,1.2814,1.28446,1.64578,0.64547,0.664,0.69561,0.34851,1.62131,1.40161,1.93785,0.0001816,0.0001816,0.0001816
126,1337.27,1.29187,1.28763,1.65346,0.64713,0.67337,0.7039,0.35969,1.60246,1.36337,1.94057,0.000175,0.000175,0.000175
127,1347.89,1.28193,1.26878,1.64379,0.60095,0.68651,0.69028,0.35741,1.6202,1.38729,1.94068,0.0001684,0.0001684,0.0001684
128,1358.3,1.27109,1.27272,1.63853,0.66827,0.64448,0.70055,0.35645,1.60744,1.37471,1.93474,0.0001618,0.0001618,0.0001618
129,1368.64,1.28099,1.27372,1.65606,0.61154,0.66239,0.69933,0.35993,1.6153,1.39758,1.94365,0.0001552,0.0001552,0.0001552
130,1379.21,1.27784,1.26888,1.6408,0.60014,0.67283,0.68835,0.34853,1.62005,1.42018,1.94617,0.0001486,0.0001486,0.0001486
131,1389.47,1.27731,1.26465,1.64224,0.63332,0.66186,0.69531,0.35542,1.63676,1.42202,1.96538,0.000142,0.000142,0.000142
132,1399.75,1.27058,1.27125,1.64045,0.65688,0.65527,0.6984,0.35511,1.61996,1.38221,1.9437,0.0001354,0.0001354,0.0001354
133,1410.15,1.25647,1.26652,1.63626,0.64427,0.66794,0.71481,0.35986,1.62111,1.35842,1.94006,0.0001288,0.0001288,0.0001288
134,1420.46,1.26364,1.26454,1.63214,0.63832,0.67372,0.69915,0.34932,1.64678,1.38859,1.96947,0.0001222,0.0001222,0.0001222
135,1430.8,1.26539,1.25534,1.63628,0.67267,0.66392,0.7098,0.35984,1.61172,1.37157,1.94531,0.0001156,0.0001156,0.0001156
136,1441.14,1.26366,1.25358,1.63502,0.65283,0.66573,0.70436,0.35857,1.63292,1.38695,1.9649,0.000109,0.000109,0.000109
137,1451.56,1.26249,1.25286,1.63244,0.64809,0.69816,0.71079,0.36027,1.61649,1.36144,1.9457,0.0001024,0.0001024,0.0001024
138,1462.09,1.2614,1.25741,1.63637,0.63562,0.67782,0.70016,0.34976,1.62806,1.4016,1.94693,9.58e-05,9.58e-05,9.58e-05
139,1472.65,1.25733,1.23623,1.62563,0.65177,0.6671,0.70239,0.35591,1.61177,1.39401,1.94156,8.92e-05,8.92e-05,8.92e-05
140,1483.1,1.2433,1.23169,1.62083,0.63938,0.67923,0.70801,0.36068,1.60407,1.37076,1.93784,8.26e-05,8.26e-05,8.26e-05
141,1493.59,1.26189,1.2134,1.63346,0.6386,0.66895,0.69898,0.35983,1.62616,1.36498,1.96799,7.6e-05,7.6e-05,7.6e-05
142,1503.04,1.245,1.1459,1.61396,0.63506,0.6877,0.70813,0.35804,1.63564,1.37015,1.96712,6.94e-05,6.94e-05,6.94e-05
143,1512.2,1.23426,1.12101,1.61107,0.65915,0.65176,0.70178,0.35529,1.63786,1.37816,1.9574,6.28e-05,6.28e-05,6.28e-05
144,1521.29,1.23283,1.13978,1.6201,0.65326,0.66901,0.70618,0.35904,1.61981,1.37253,1.9554,5.62e-05,5.62e-05,5.62e-05
